Web Search interest: big data hadoop
Worldwide 2004 - present

Interest over time
Week,big data,hadoop
Belgium,16,6
Russia,9,6
Spain,21,6
Romania,9,6
Austria,15,6
Philippines,16,5
Hungary,10,5
Portugal,12,5
Poland,8,4
Egypt,10,4
Vietnam,7,4
Italy,11,4
Thailand,8,3
Indonesia,12,3
Chile,9,3
Brazil,12,3
Colombia,13,3
Argentina,7,3
Mexico,9,2
Turkey,4,2
Bulgaria,11,0
Kenya,31,0
Sri Lanka,36,0
Morocco,19,0
Nigeria,27,0
Peru,11,0
Saudi Arabia,7,0
Tunisia,28,0


Top cities for big data
City,big data
Pimpri-Chinchwad (India),100
Gurgaon (India),56
Noida (India),51
Bengaluru (India),41
Hyderabad (India),35
Chennai (India),34
San Jose (United States),19
Singapore (Singapore),15
Seoul (South Korea),14
Mumbai (India),14
Pune (India),13
Howrah (India),12
San Francisco (United States),11
Sydney (Australia),10
Melbourne (Australia),8

Top cities for hadoop
City,hadoop
Pimpri-Chinchwad (India),100
Sunnyvale (United States),84
Mountain View (United States),56
Noida (India),40
Hyderabad (India),39
Bengaluru (India),37
Gurgaon (India),37
Shenzhen (China),31
San Jose (United States),23
Chennai (India),23
Beijing (China),21
Hangzhou (China),18
Shanghai (China),13
Pune (India),12
Seoul (South Korea),11



Top searches for big data
data analytics,100
big data analytics,100
hadoop big data,75
hadoop,75
google big data,35
big data pdf,25
big data cloud,25
big data jobs,25
big data analysis,25
dangerous big data,20
big data university,20
big data training,20
big data ibm,20
data science,20
big data management,20
big data software,20
oracle big data,20
big data database,15
big data tutorial,15
data mining,15
big data mining,15
big data companies,15
bigdata,15
wiki big data,15
big data tools,15
open data,15
big data definition,15
big data conference,15
big data marketing,10
big data course,10
big data r,10
big data ppt,10
big data youtube,10
big bang data,10
big data certification,10
big data technologies,10
why big data,10
big data security,10
amazon big data,10
big data architecture,10
microsoft big data,10
big data courses,10
big data book,10
big data solutions,10
sap big data,10
big data news,10
big data meaning,10
python big data,10
master big data,10
big data healthcare,10


Top searches for hadoop
hadoop big data,100
big data,100
hadoop tutorial,90
hadoop apache,85
what is hadoop,65
mapreduce hadoop,65
mapreduce,65
hadoop hive,55
cloudera hadoop,55
hive,55
cloudera,55
hadoop download,55
hdfs,50
hadoop hdfs,50
hadoop training,45
wiki hadoop,40
hadoop pdf,40
hadoop install,40
hadoop cluster,40
hadoop spark,35
hadoop windows,35
hadoop jobs,35
pig hadoop,30
hadoop hbase,30
hbase,30
hadoop database,25
hadoop python,25
map reduce,20
hadoop map reduce,20
hadoop certification,20
hadoop eclipse,20
hadoop architecture,20
yarn hadoop,20
amazon hadoop,20
r hadoop,20
cassandra hadoop,15
hadoop api,15
hortonworks,15
hadoop installation,15
hadoop developer,15
hadoop jar,15
hadoop interview questions,15
nosql,15
hadoop configuration,15
ibm hadoop,15
learn hadoop,15
hadoop fs,15
hadoop file system,15
hadoop streaming,15



Rising searches for big data
big data analytics,Breakout
dangerous big data,Breakout
data analytics,Breakout
hadoop,Breakout
hadoop big data,Breakout
big data cloud,+450%
big data pdf,+250%
google big data,+250%
big data university,+200%
big data analysis,+70%


Rising searches for hadoop
big data,Breakout
cloudera,Breakout
cloudera hadoop,Breakout
hadoop apache,Breakout
hadoop big data,Breakout
hadoop download,Breakout
hadoop hive,Breakout
hadoop tutorial,Breakout
hdfs,Breakout
hive,Breakout



